Bag Number,Surface,Fold,Time (Bag),Mu Value,Inconsistency,Raw If Applicable,Previously Recorded Mu,Previoulsy Recorded Time,Mu Difference,Timestamp Difference,,,,,,,,,,,,,,
,Tile,.,1770685547,0.7251524385,,,0.7251524,1770685547,0.000,0.015,,,,,,,,,,,,,,
Bag 14,Cardboard,5,1770685563,0.9468346919,,,0.946834,1770685563,0.000,0.036,,,,,,,,,,,,,,
,Acrylic,.,1770685565,1.043626269,,,1.0436262,1770685565,0.000,0.014,,,,,,,,,,,,,,
,Tile,.,1770685568,0.6678314216,,,0.66783142,1770685568,0.000,0.000,,,,,,,,,,,,,,
Bag 15,Cardboard,5,1770685583,1.048652702,,,1.0486527,1770685583,0.000,0.039,,,,,,,,,,,,,,
,Acrylic,.,1770685586,0.7675737622,,,0.76757376,1770685586,0.000,0.000,,,,,,,,,,,,,,
,Tile,.,1770685589,0.6395216272,,,0.639521627,1770685589,0.000,0.015,,,,,,,,,,,,,,
Bag 16,Cardboard,5,1770685605,0.9765088555,,,0.97650885,1770685605,0.000,0.000,,,,,,,,,,,,,,
,Acrylic,.,1770685608,0.6747166092,,,0.6747166,1770685608,0.000,0.036,,,,,,,,,,,,,,
,Tile,.,1770685610,0.630516063,,,0.630516062,1770685610,0.000,0.040,,,,,,,,,,,,,,
Bag 17,Cardboard,3,1770685625,0.8813267071,extra 1,,0.8813267,1770685625,0.000,0.175,,,,,,,,,,,,,,
,Acrylic,.,1770685628,0.6826693048,,,0.6826693,1770685629,0.000,0.165,,,,,,,,,,,,,,
,Tile,.,1770685631,0.5967960455,,,0.596796,1770685632,0.000,0.155,,,,,,,,,,,,,,
Bag 18,Cardboard,3,1770685652,0.9142219725,,,0.91422197,1770685652,0.000,0.136,,,,,,,,,,,,,,
,Acrylic,.,1770685655,0.722906372,,,0.69363239,1770685655,0.029,0.228,,,,,,,,,,,,,,
,Tile,.,1770685657,0.6952665292,,,0.69526652,1770685657,0.000,0.140,,,,,,,,,,,,,,
Bag 19,Cardboard,1,1770685683,0.936962369,,,0.93696236,1770685683,0.000,0.045,,,,,,,,,,,,,,
,Acrylic,.,1770685686,1.061705111,,,1.06170511,1770685686,0.000,0.055,,,,,,,,,,,,,,
,Tile,.,1770685689,0.6998873186,,,0.69988731,1770685689,0.000,0.045,,,,,,,,,,,,,,
Bag 20,Cardboard,1,1770685703,1.02945182,,,1.02945181,1770685703,0.000,0.020,,,,,,,,,,,,,,
,Acrylic,.,1770685705,0.9164378401,,,0.91643784,1770685705,0.000,0.055,,,,,,,,,,,,,,
,Tile,.,1770685708,0.6997863982,,,0.6997863,1770685708,0.000,0.019,,,,,,,,,,,,,,
"3 surface, Assam, Track 2",,.,,,,,,,,,,,,,,,,,,,,,,
Bag 1,Tile,4,1770760647,0.6918024201,,,0.69180242,1770760647,0.000,0.015,,,,,,,,,,,,,,
,Cardboard,.,1770760654,0.9907632305,,,0.99076323,1770760654,0.000,0.016,,,,,,,,,,,,,,
,Acrylic,.,1770760657,0.82483737,,,0.82483737,1770760657,0.000,0.000,,,,,,,,,,,,,,
Bag 2,Tile,2,1770760674,0.6935956635,,,0.69359566,1770760674,0.000,0.000,,,,,,,,,,,,,,
,Cardboard,.,1770760680,1.057365017,,,1.057365016,1770760680,0.000,0.020,,,,,,,,,,,,,,
,Acrylic,.,1770760684,0.9511330905,,,0.9511330905,1770760684,0.000,0.040,,,,,,,,,,,,,,
Bag 3,Tile,3,1770760700,0.6652188953,,,0.66521889,1770760700,0.000,0.156,,,,,,,,,,,,,,
,Cardboard,.,1770760706,0.9292311212,,,0.92923112,1770760706,0.000,0.136,,,,,,,,,,,,,,
,Acrylic,.,1770760708,0.9478648152,,,0.9478648151,1770760709,0.000,0.140,,,,,,,,,,,,,,
Bag 4,Tile,4,1770760723,0.6785552684,,,0.6785552684,1770760723,0.000,0.039,,,,,,,,,,,,,,
,Cardboard,.,1770760729,0.8446965494,,,0.8446965494,1770760729,0.000,0.000,,,,,,,,,,,,,,
