time,drive.steering_angle,drive.steering_angle_velocity,drive.speed,drive.acceleration,drive.jerk
0.12815308570861816,0.0,0.0,0.0,0.0,0.0
0.17895936965942383,0.0,0.0,0.0,0.0,0.0
0.23189592361450195,0.0,0.0,0.0,0.0,0.0
0.28136253356933594,0.0,0.0,0.0,0.0,0.0
0.3324565887451172,0.0,0.0,0.0,0.0,0.0
0.3838164806365967,0.0,0.0,0.0,0.0,0.0
0.4351816177368164,0.0,0.0,0.0,0.0,0.0
0.4892761707305908,0.0,0.0,0.0,0.0,0.0
0.5366809368133545,0.0,0.0,0.0,0.0,0.0
0.5917305946350098,0.0,0.0,0.0,0.0,0.0
0.6417925357818604,0.0,0.0,0.0,0.0,0.0
0.6941397190093994,0.0,0.0,0.0,0.0,0.0
0.7570128440856934,0.0,0.0,0.0,0.0,0.0
0.8072235584259033,0.0,0.0,0.0,0.0,0.0
0.8678731918334961,0.0,0.0,0.0,0.0,0.0
0.918947696685791,0.0,0.0,0.0,0.0,0.0
0.9747359752655029,0.0,0.0,0.0,0.0,0.0
1.0298352241516113,0.0,0.0,0.0,0.0,0.0
1.0772805213928223,0.0,0.0,0.0,0.0,0.0
1.1402664184570312,0.0,0.0,0.0,0.0,0.0
1.1868610382080078,0.0,0.0,0.0,0.0,0.0
1.2428908348083496,0.0,0.0,0.0,0.0,0.0
1.2967469692230225,0.0,0.0,0.0,0.0,0.0
1.3483753204345703,0.0,0.0,0.0,0.0,0.0
1.3999392986297607,0.0,0.0,0.0,0.0,0.0
1.4529330730438232,0.0,0.0,0.0,0.0,0.0
1.562967300415039,0.0,0.0,0.0,0.0,0.0
1.6130270957946777,0.0,0.0,0.0,0.0,0.0
1.6633691787719727,0.0,0.0,0.0,0.0,0.0
1.7153637409210205,0.0,0.0,0.0,0.0,0.0
1.773526668548584,0.0,0.0,0.0,0.0,0.0
1.8359119892120361,0.0,0.0,0.0,0.0,0.0
1.8818342685699463,0.0,0.0,0.0,0.0,0.0
1.9331960678100586,0.0,0.0,0.0,0.0,0.0
1.9541935920715332,0.0,0.0,0.0,0.0,0.0
2.0046894550323486,0.0,0.0,0.0,0.0,0.0
2.063584566116333,0.0,0.0,0.0,0.0,0.0
2.113858461380005,0.0,0.0,0.0,0.0,0.0
2.1670618057250977,0.0,0.0,0.0,0.0,0.0
