time,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
0.30823516845703125,base_link,4.957797392898716,-4.945458114715144,-4.799492391064841e-23,3.4065995476878574e-24,2.6465091133892935e-23,0.9999544738897523,0.009542020114663746,[ 1.84387107e-03 -6.80053636e-04 -9.12502047e-05 -7.83229203e-04
  7.27554840e-04  2.65711849e-04 -2.41254253e-04  3.70917885e-04
  8.00991896e-04 -9.87325024e-05  9.17179346e-05  3.35443452e-05
 -1.04224757e-20 -1.20384558e-19  9.99158586e-07  5.89635282e-17
  1.65285007e-16 -3.82885468e-24 -1.32348898e-20 -5.47924438e-21
  5.89634830e-17  9.98319997e-07 -4.62250713e-23 -1.26772832e-23
  6.93508226e-20  2.73168125e-20  1.65285021e-16 -1.60250326e-23
  9.98319997e-07  1.51019043e-24 -2.74144457e-21  1.41602076e-20
  6.11892936e-20 -2.24272374e-20  2.08343708e-20  9.99999167e-10],-0.0037347357405434077,0.0017667333891444985,-2.7923295426774225e-21,-5.328024657851782e-27,2.716944716706794e-27,0.0002408006463137265,[ 6.18628826e-02 -5.10986894e-04 -9.83101003e-06  5.94766960e-11
 -5.74477433e-11 -1.72701090e-04 -1.64944679e-04  3.60106230e-02
  6.85841952e-04  1.54876820e-11 -1.43434666e-11 -1.64877209e-05
  1.96850457e-18 -1.37259995e-16  9.98738939e-07  1.44363597e-25
  4.04625340e-25  1.59989975e-24  4.78213792e-25  1.29246971e-25
  1.44415085e-25  9.94993549e-07 -1.10924686e-31  7.47279943e-28
 -2.38460661e-24 -5.97767240e-25  4.04604449e-25 -1.11333360e-31
  9.94993549e-07 -3.80680934e-28 -8.31465710e-15 -9.81888724e-15
 -1.89623476e-16 -6.08355928e-24  3.29255740e-24  3.49172529e-02]
