time,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance
0.1446218490600586,-0.021184606477618217,-0.01125897653400898,0.3089774250984192,-0.9507666826248169,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.1220703125,-0.91552734375,-0.18310546875,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0341796875,0.033203125,1.0009765625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.16449284553527832,-0.022111503407359123,-0.010352554731070995,0.3089594542980194,-0.9507618546485901,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.1220703125,-0.79345703125,-0.244140625,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03369140625,0.03564453125,1.001953125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.18554210662841797,-0.021515170112252235,-0.010764969512820244,0.3090115189552307,-0.9507540464401245,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.1220703125,-0.6103515625,-0.18310546875,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0341796875,0.0341796875,1.00341796875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.20858478546142578,-0.021077049896121025,-0.01077244058251381,0.3090501129627228,-0.9507511258125305,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.30517578125,-0.3662109375,-0.06103515625,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03369140625,0.03369140625,1.0029296875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.21970796585083008,-0.02147994376718998,-0.010579317808151245,0.30907824635505676,-0.9507352709770203,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.06103515625,-0.8544921875,-0.18310546875,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0341796875,0.03466796875,1.001953125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.24443316459655762,-0.021334609016776085,-0.010916918516159058,0.3091095983982086,-0.9507244229316711,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,-1.0986328125,-0.30517578125,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0341796875,0.03369140625,1.00244140625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.2644312381744385,-0.020863767713308334,-0.011196905747056007,0.30913299322128296,-0.9507240056991577,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.1220703125,-0.48828125,-0.1220703125,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0341796875,0.03271484375,1.00244140625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.28475451469421387,-0.021606994792819023,-0.010553018189966679,0.3091331124305725,-0.9507147669792175,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.06103515625,-0.244140625,-0.244140625,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0341796875,0.0341796875,1.00341796875,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.3154001235961914,-0.022001853212714195,-0.011172238737344742,0.3091667890548706,-0.9506876468658447,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,-0.48828125,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03466796875,0.03515625,1.00244140625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.3207850456237793,-0.0209413543343544,-0.010820860043168068,0.30922722816467285,-0.9506959915161133,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.06103515625,-0.8544921875,-0.244140625,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03369140625,0.03369140625,1.0009765625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
